;;precios_insumos;oferta_agua;calidad_agua ;patrones_precipitacion;acceso_energia ;Desastres_naturales;productos_agricolas;Cambios_poblacionales;salud ;Tecnologias_informacion
MX.AG;Aguascalientes;100.0;0.0;50.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0
MX.BN;Baja California;53.1;46.9;34.4;43.8;65.6;53.1;31.3;40.6;40.6;56.3
MX.GJ;Guanajuato;75.0;50.0;25.0;25.0;62.5;50.0;25.0;12.5;12.5;37.5
MX.CH;Chihuahua;57.1;0.0;14.3;14.3;57.1;42.9;28.6;28.6;28.6;57.1
MX.CP;Chiapas;50.0;66.7;33.3;83.3;50.0;83.3;33.3;33.3;33.3;50.0
MX.CL;Colima;50.0;50.0;50.0;0.0;50.0;50.0;50.0;0.0;0.0;100.0
MX.MX;Estado de México;74.4;20.9;23.3;18.6;55.8;51.2;18.6;18.6;18.6;51.2
MX.SI;Sinaloa;60.0;60.0;40.0;60.0;80.0;100.0;80.0;60.0;60.0;60.0
MX.DF;Distrito Federal;72.3;23.1;24.9;21.4;57.8;53.2;12.1;31.8;31.8;53.2
MX.DU;Durango;66.7;33.3;33.3;33.3;100.0;33.3;33.3;66.7;66.7;66.7
MX.GR;Guerrero;100.0;50.0;50.0;50.0;50.0;50.0;50.0;0.0;0.0;0.0
MX.HI;Hidalgo;50.0;0.0;0.0;50.0;50.0;100.0;50.0;0.0;0.0;50.0
MX.JA;Jalisco;63.6;6.1;18.2;18.2;45.5;39.4;24.2;6.1;6.1;42.4
MX.MC;Michoacán;75.0;50.0;25.0;50.0;50.0;100.0;50.0;50.0;50.0;75.0
MX.MR;Morelos;50.0;0.0;0.0;25.0;50.0;25.0;75.0;25.0;25.0;25.0
MX.NA;Nayarit;50.0;0.0;0.0;0.0;50.0;50.0;0.0;0.0;0.0;0.0
MX.NL;Nuevo León;70.3;15.6;10.9;28.1;48.4;42.2;23.4;14.1;14.1;43.8
MX.OA;Oaxaca;100.0;100.0;100.0;100.0;66.7;100.0;100.0;33.3;33.3;33.3
MX.PU;Puebla;64.3;14.3;28.6;21.4;50.0;50.0;28.6;21.4;21.4;57.1
MX.QR;Quintana Roo;63.2;10.5;15.8;26.3;31.6;89.5;21.1;10.5;10.5;42.1
MX.QE;Querétaro;43.5;21.7;13.0;26.1;52.2;52.2;17.4;30.4;30.4;52.2
MX.SL;San Luis Potosí;50.0;25.0;25.0;25.0;50.0;50.0;25.0;25.0;25.0;50.0
MX.SO;Sonora;66.7;33.3;33.3;66.7;66.7;100.0;33.3;33.3;33.3;66.7
MX.TB;Tabasco;70.0;50.0;30.0;30.0;70.0;60.0;20.0;70.0;70.0;50.0
MX.TM;Tamaulipas;100.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;100.0
MX.TL;Tlaxcala;50.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0
MX.VE;Veracruz;75.0;50.0;25.0;50.0;75.0;100.0;25.0;0.0;0.0;100.0
MX.YU;Yucatán;82.6;34.8;30.4;13.0;60.9;43.5;17.4;39.1;39.1;56.5
MX.CA;Coahuila;66.7;33.3;33.3;0.0;33.3;66.7;66.7;33.3;33.3;33.3
